Image,Classification,ROI: 0.33 µm per pixel: Hoechst: Mean,ROI: 0.33 µm per pixel: AF1: Mean,ROI: 0.33 µm per pixel: CD45: Mean,ROI: 0.33 µm per pixel: S100a: Mean,ROI: 0.33 µm per pixel: CD4: Mean,ROI: 0.33 µm per pixel: CD8a: Mean,ROI: 0.33 µm per pixel: FoxP3: Mean,ROI: 0.33 µm per pixel: PD1: Mean
LungImg1.ome.tif,,1733.9398,2200.0242,632.8494,229.506,2084.8193,374.2892,265.3253,290.8916
LungImg1.ome.tif,,4073.7109,2297.4456,749.1031,258.6851,1006.1566,440.3333,331.989,282.8416
LungImg1.ome.tif,,1197.2241,2617.5747,1013.9713,279.5977,1242.2529,484.8103,296.7931,322.1207
LungImg1.ome.tif,CD4,1966.8148,3261.176,747.963,247.4352,1669.3148,678.0185,237.1574,301.6852
LungImg1.ome.tif,CD8,2440.8276,2103.4856,1265.0068,237.3683,958.6662,1784.3917,276.0952,305.1352
LungImg1.ome.tif,CD4,2130.0698,3024.124,1377.8682,239.3333,3192.1162,713.9457,258.8372,309.6434
LungImg1.ome.tif,FoxP3,4312.2803,1350.0654,786.9813,236.6308,1432.5701,282.2009,2568.0188,291.6635
LungImg1.ome.tif,FoxP3,3513.1328,1511.5841,732.5398,243.969,1075.3451,312.5531,1439.4646,295.739
LungImg1.ome.tif,CD8,4069.2134,2072.4351,915.1519,240.2611,785.9249,1176.7115,260.5273,305.3686
LungImg1.ome.tif,,2723.2754,4361.1694,1225.6747,241.2695,626.9142,705.7266,247.6008,355.7864
LungImg1.ome.tif,CD8,3029.3738,1365.1411,1311.6442,255.2127,941.4255,3506.0815,247.67,246.8748
LungImg1.ome.tif,CD4,2916.6248,2089.6108,830.5192,245.6237,2634.9873,473.1556,267.9126,276.5704
LungImg1.ome.tif,CD4: PD1,3466.6724,1872.8419,982.9689,285.443,2819.3743,359.6282,268.6386,672.8122
LungImg1.ome.tif,CD4,1979.7854,2332.249,739.6336,244.33,1842.2368,369.1518,257.5445,270.7085
LungImg1.ome.tif,CD4,3680.436,1233.2285,1244.2222,246.4633,2552.9456,565.2097,235.7568,312.3438
LungImg1.ome.tif,CD4,1949.1305,2086.52,1130.9358,263.8429,2299.9292,415.3474,239.6593,300.8341
LungImg1.ome.tif,CD4,4872.0459,2365.4951,789.1551,249.0497,1833.7177,331.1272,349.829,272.4851
LungImg1.ome.tif,CD4: FoxP3,4961.876,1732.3262,1402.7816,252.5741,3453.248,312.4178,1424.4529,267.0027
LungImg1.ome.tif,CD4: PD1,1931.585,2564.4465,1465.4189,256.1067,2855.2292,704.5889,291.2095,601.3281
LungImg1.ome.tif,CD4,2854.1335,2183.2898,981.0358,254.5993,1860.1042,311.2573,230.3355,264.6156
LungImg1.ome.tif,CD8,5453.041,2123.6851,1207.3003,252.0292,625.554,1861.9387,279.3265,275.8746
LungImg1.ome.tif,,3380.5229,2110.2771,1042.0571,257.0086,781.0343,688.3686,286.2057,448.2343
LungImg1.ome.tif,PD1,1843.4204,4064.9927,959.8126,242.9162,543.9581,907.7559,252.2639,625.5648
LungImg1.ome.tif,CD8,1778.5928,1477.5419,2247.2844,257.7305,2106.2095,1873.3114,256.7455,282.3683
LungImg1.ome.tif,CD8,3847.6912,2197.9731,1163.9463,248.1275,728.7617,1074.7483,247.8893,273.5705
LungImg1.ome.tif,CD4: FoxP3,4421.894,2293.6538,1268.8702,255.7236,2706.387,362.9663,1485.238,342.3702
LungImg1.ome.tif,CD4,6587.8706,1813.2512,1352.5431,262,2976.6523,772.6548,280.9873,299.9848
LungImg1.ome.tif,,2871.2437,1965.361,1049.9224,253.5776,903.7798,717.3592,244.2942,253.3628
LungImg1.ome.tif,,6780.3232,1624.9425,1096.5068,243.0055,978.9617,366.8575,345.6712,300.1507
LungImg1.ome.tif,CD8,4512.978,1870.7078,1100.8594,243.2923,932.1832,1166.9067,252.9036,288.1264
LungImg1.ome.tif,CD4,3056.8728,1808.2278,1204.6361,272.4527,2420.8906,668.7308,256.7722,282.7219
LungImg1.ome.tif,CD8,5182.8491,1853.2998,1821.675,259.9908,1053.8513,2649.6453,263.6247,249.9611
LungImg1.ome.tif,,4125.3994,1743.5065,653.4487,250.735,1081.3419,411.4765,257.8333,287.8547
LungImg1.ome.tif,,3335.4629,1964.0084,983.9149,301.5252,563.2542,611.4713,271.0719,377.0839
LungImg1.ome.tif,,4489.8989,1996.236,817.6685,246.2669,606.3259,381.1348,310.6152,309.7809
LungImg1.ome.tif,CD8,2636.1851,1471.396,1896.9277,273.9364,2070.1531,1524.8352,271.5578,323.0838
LungImg1.ome.tif,CD8,5006.9062,1307.8232,952.7692,239.6362,562.8711,1304.0375,252.9875,358.1559
LungImg1.ome.tif,CD4,4859.6855,1621.9717,1523.9518,271.9547,3369.7563,710.4448,267.2918,347.8895
LungImg1.ome.tif,CD8,2303.6301,3019.6531,711.763,238.1821,647.4104,1088.7745,225.6763,302.4104
LungImg1.ome.tif,CD4,4220.9199,1577.7667,1497.2117,271.2268,3334.229,382.3585,419.6804,322.9071
LungImg1.ome.tif,CD4: FoxP3,5001.4585,1907.6566,1098.9674,258.6391,2066.5864,373.9624,1960.9474,301.6491
LungImg1.ome.tif,CD4: PD1,1254.443,2112.0505,1569.6582,263.4082,2265.2849,1345.155,273.0854,561.3734
LungImg1.ome.tif,CD4: PD1,2368.1489,2472.1812,1052.1415,246.8213,2187.4517,513.4988,276.9529,813.8214
LungImg1.ome.tif,CD4: FoxP3,3449.5869,1840.3315,1231.5055,257.9348,2649.8206,494.6141,1326.3805,302.4946
LungImg1.ome.tif,CD4,1173.9423,3667.1614,885,243.8606,2230.532,364.3466,244.2829,257.1793
LungImg1.ome.tif,CD4,4395.8936,2059.3887,763.116,254.3856,2307.8464,388.9467,361.4734,347.8652
LungImg1.ome.tif,CD4,1661.5446,3210.9351,736.8145,259.3422,1547.2988,352.6747,231.4386,268.8024
LungImg1.ome.tif,CD8,1599.6482,2581.177,773.1703,291.9602,583.8075,1008.0332,288.6726,342.2633
LungImg1.ome.tif,CD4,3575.4973,1739.8103,836.0769,265.3897,1567.9128,440.8462,327.3385,287.7949
LungImg1.ome.tif,CD4,5015.1279,2147.8843,1061.0469,250.4469,2494.925,434.0812,349.4969,295.7469
LungImg1.ome.tif,CD8,2446.1299,1769.4471,1355.6562,243.3101,1175.6346,1374.4832,276.8101,298.3462
LungImg1.ome.tif,CD8,4322.1431,2314.1924,1524.5724,260.9489,1495.8688,1349.1823,288.8024,285.8569
LungImg1.ome.tif,CD4,4436.625,3562.6965,682.2957,250.0218,2674.51,447.8552,259.5714,319.0496
LungImg1.ome.tif,CD4,5370.541,1716.9711,1035.285,261.0483,2182.3503,374.3116,283.1594,262.6183
LungImg1.ome.tif,CD4,5002.813,2771.0266,852.1632,247.362,1826.8932,337.997,276.3145,276.6172
LungImg1.ome.tif,CD4,4377.2832,1680.905,1228.9464,224.0432,2287.8982,470.8653,505.3661,279.7928
LungImg1.ome.tif,CD4,2098.009,3115.9009,886.1216,239.741,1843.7996,324.6802,246.3671,274.4437
LungImg1.ome.tif,,2345.8423,2280.0671,997.7986,237.1409,609.0671,822.6879,262.5839,501.9027
LungImg1.ome.tif,CD4,3929.8928,3054.2327,1090.1853,242.8851,2862.095,381.8775,248.8836,256.0612
LungImg1.ome.tif,,3920.5461,1744.8451,1163.0204,252.9718,1362.9406,333.0344,249.5743,298.9922
LungImg1.ome.tif,CD4,3777.0637,1524.6945,1124.9187,226.0681,2860.9429,323.7165,267.4703,328.5121
LungImg1.ome.tif,CD4,5957.3555,1717.9597,929.6241,215.7383,2334.7852,301.9731,286.5772,574.4161
LungImg1.ome.tif,,2688.324,2659.0776,745.8233,242.0365,1104.4641,660.5689,257.6725,289.1378
LungImg1.ome.tif,CD4: PD1,4010.5256,2726.8,1173.6876,239.0546,2949.6033,360.0562,262.0463,547.8331
LungImg1.ome.tif,CD4,5661.5757,1961.5447,1002.4643,241.0179,2548.241,332.9643,319.4955,557.9241
LungImg1.ome.tif,CD4,1822.8087,2305.0659,1189.7903,267.0686,1680.7942,1013.9248,241.6675,293.4354
LungImg1.ome.tif,CD4: FoxP3,5050.0547,2869.4536,805.9359,238.715,1974.6722,331.6128,1699.6366,324.1853
LungImg1.ome.tif,CD8,3801.7144,1972.3892,2231.2144,237.2783,1163.9656,1734.202,266.4975,353.2414
LungImg1.ome.tif,CD4,2227.6316,3948.2688,1104.3488,242.0475,2124.0557,355.9305,280.4797,302.3581
LungImg1.ome.tif,,2465.3547,3257.2832,952.0992,243.7693,930.4146,328.8978,235.1314,251.7489
LungImg1.ome.tif,,2535.4951,2320.8804,720.3558,253.4501,1271.2279,599.8312,266.3896,282.0675
LungImg1.ome.tif,,2912.3708,3140.4709,1070.9774,249.3516,1117.4484,376.7451,237.7871,269.7129
LungImg1.ome.tif,,2359.6152,1950.0135,1400.832,325.7913,476.729,587.9187,257.7588,361.3144
LungImg1.ome.tif,CD4,2673.573,2835.2737,711.5802,229.7618,2778.1509,373.9552,259.7618,275.5684
LungImg1.ome.tif,CD4,4604.9526,2749.3694,829.1415,236.5226,1739.6464,348.1179,340.2672,310.8684
LungImg1.ome.tif,CD4,4488.8325,2574.3477,945.7034,242.4482,2618.1165,450.6619,371.1053,303.0813
LungImg1.ome.tif,CD4,4235.1934,2566.574,818.7642,241.4553,1698.0098,429.0081,279.5707,291.2715
LungImg1.ome.tif,CD4,1180.1442,2855.3269,914.9332,235.1687,1922.1775,312.6538,230.9736,326.0193
LungImg1.ome.tif,CD4,5922.8228,3165.6926,914.2292,224.724,1945.8906,337.599,329.5521,299.0156
LungImg1.ome.tif,CD4: PD1,2111.426,1799.87,802.9977,317.8116,1856.5852,384.0695,238.3363,530.3273
LungImg1.ome.tif,,1689.8619,2495.3267,850.3535,237.4478,1071.2828,799.8754,243.1044,282.5387
LungImg1.ome.tif,CD4,3403.1826,3550.1506,1297.6804,244.4018,2682.0046,323.8174,241.2283,322.8904
LungImg1.ome.tif,,4069.8674,2490.1619,758.8964,244.8091,1306.5566,350.4207,312.2654,280.1586
LungImg1.ome.tif,CD4,2256.7302,3100.8381,996.7159,251.3175,2382.5,380.4841,257.1984,282.5984
LungImg1.ome.tif,,2370.2969,1747.2358,690.984,236.6521,1336.3698,360.655,237.3071,260.869
LungImg1.ome.tif,CD8: PD1,4891.1377,2442.083,1343.0868,240.8453,975.9698,2358.7395,273.1623,887.317
LungImg1.ome.tif,CD4,4460.1606,1716.8827,885.737,255.3166,2267.0686,320.1524,258.9146,291.8224
LungImg1.ome.tif,CD4,1692.0417,3149.6946,736.7853,261.2622,1637.8271,310.9337,225.438,289.6023
LungImg1.ome.tif,CD4,5160.084,2062.1091,839.4076,255.0735,2269.2144,392.3256,237.2689,272.395
LungImg1.ome.tif,CD4: FoxP3: PD1,5537.668,2294.4209,1077.347,243.5033,1789.5706,714.154,727.0455,477.9805
LungImg1.ome.tif,CD8,2798.7329,2139.6279,858.179,258.8551,777.1165,1571.6335,246.4432,284.2159
LungImg1.ome.tif,FoxP3,3092.8887,2141.5615,773.4486,294.2226,1563.1935,365.8373,876.4863,282.8767
LungImg1.ome.tif,CD4,4828.0039,2079.8711,795.8047,234.2227,1866.4375,319.4648,252.2031,277.1621
LungImg1.ome.tif,CD4,5087.0884,1816.902,1891.402,259.3333,4772.8726,350.4118,411.7843,328.7157
LungImg1.ome.tif,CD8,4563.5894,2358.563,1433.9399,264.7462,1067.1692,2226.897,281.0323,313.6415
LungImg1.ome.tif,CD4,2713.5513,2894.3462,777.9631,258.0615,1781.1455,294.3996,252.3217,378.3258
LungImg1.ome.tif,,3253.2288,2096.2419,1308.2599,292.7978,1567.2888,371.0301,265.7834,312.8917
LungImg1.ome.tif,CD4,3324.783,2980.7024,729.0248,253.1116,1793.1838,326.8244,247.5641,316.0517
LungImg1.ome.tif,,3612.4417,1747.9746,790.4543,252.4797,1434.6016,608.4619,305.9289,328.2563
LungImg1.ome.tif,CD4,3450.9104,1764.2524,1046.4219,255.0166,1909.6478,603.6943,246.5316,326.6678
LungImg1.ome.tif,CD4: PD1,2413.354,2960.6304,1108.0133,279.755,1781.8663,386.2227,252.3987,398.3608
LungImg1.ome.tif,CD4: PD1,3352.8831,2039.9348,1037.2174,261.8071,1999.8424,569.1277,264.1494,476.6359
LungImg1.ome.tif,CD4,3362.1055,2241.0232,1225.3729,262.0493,2603.3467,317.5397,328.6302,348.8221
